id,identifier,generation_id,text
1,stench,3,Has a 10% chance of making target Pokémon flinch with each hit.
2,drizzle,3,Summons rain that lasts indefinitely upon entering battle.
3,speed-boost,3,Raises Speed one stage after each turn.
4,battle-armor,3,Protects against critical hits.
5,sturdy,3,"Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP."
6,damp,3,"Prevents Self-Destruct, Explosion, and Aftermath from working while the Pokémon is in battle."
7,limber,3,Prevents paralysis.
8,sand-veil,3,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
9,static,3,Has a 30% chance of paralyzing attacking Pokémon on contact.
10,volt-absorb,3,"Absorbs Electric moves, healing for 1/4 max HP."
11,water-absorb,3,"Absorbs Water moves, healing for 1/4 max HP."
12,oblivious,3,Prevents infatuation and protects against Captivate.
13,cloud-nine,3,"Negates all effects of weather, but does not prevent the weather itself."
14,compound-eyes,3,Increases moves' accuracy to 1.3×.
15,insomnia,3,Prevents sleep.
16,color-change,3,Changes type to match when hit by a damaging move.
17,immunity,3,Prevents poison.
18,flash-fire,3,"Protects against Fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle."
19,shield-dust,3,Protects against incoming moves' extra effects.
20,own-tempo,3,Prevents confusion.
21,suction-cups,3,Prevents being forced out of battle by other Pokémon's moves.
22,intimidate,3,Lowers opponents' Attack one stage upon entering battle.
23,shadow-tag,3,Prevents opponents from fleeing or switching out.
24,rough-skin,3,Damages attacking Pokémon for 1/8 their max HP on contact.
25,wonder-guard,3,Protects against damaging moves that are not super effective.
26,levitate,3,Evades Ground moves.
27,effect-spore,3,"Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact."
28,synchronize,3,"Copies burns, paralysis, and poison received onto the Pokémon that inflicted them."
29,clear-body,3,Prevents stats from being lowered by other Pokémon.
30,natural-cure,3,Cures any major status ailment upon switching out.
31,lightning-rod,3,"Redirects single-target Electric moves to this Pokémon where possible.  Absorbs Electric moves, raising Special Attack one stage."
32,serene-grace,3,Doubles the chance of moves' extra effects occurring.
33,swift-swim,3,Doubles Speed during rain.
34,chlorophyll,3,Doubles Speed during strong sunlight.
35,illuminate,3,Doubles the wild encounter rate.
36,trace,3,Copies an opponent's ability upon entering battle.
37,huge-power,3,Doubles Attack in battle.
38,poison-point,3,Has a 30% chance of poisoning attacking Pokémon on contact.
39,inner-focus,3,Prevents flinching.
40,magma-armor,3,Prevents freezing.
41,water-veil,3,Prevents burns.
42,magnet-pull,3,Prevents Steel opponents from fleeing or switching out.
43,soundproof,3,Protects against sound-based moves.
44,rain-dish,3,Heals for 1/16 max HP after each turn during rain.
45,sand-stream,3,Summons a sandstorm that lasts indefinitely upon entering battle.
46,pressure,3,Increases the PP cost of moves targetting the Pokémon by one.
47,thick-fat,3,Halves damage from Fire and Ice moves.
48,early-bird,3,Makes sleep pass twice as quickly.
49,flame-body,3,Has a 30% chance of burning attacking Pokémon on contact.
50,run-away,3,Ensures success fleeing from wild battles.
51,keen-eye,3,Prevents accuracy from being lowered.
52,hyper-cutter,3,Prevents Attack from being lowered by other Pokémon.
53,pickup,3,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.
54,truant,3,Skips every second turn.
55,hustle,3,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×."
56,cute-charm,3,Has a 30% chance of infatuating attacking Pokémon on contact.
57,plus,3,Increases Special Attack to 1.5× when a friendly Pokémon has Plus or Minus.
58,minus,3,Increases Special Attack to 1.5× when a friendly Pokémon has Plus or Minus.
59,forecast,3,Changes Castform's type and form to match the weather.
60,sticky-hold,3,Prevents a held item from being removed by other Pokémon.
61,shed-skin,3,Has a 33% chance of curing any major status ailment after each turn.
62,guts,3,Increases Attack to 1.5× with a major status ailment.
63,marvel-scale,3,Increases Defense to 1.5× with a major status ailment.
64,liquid-ooze,3,Damages opponents using leeching moves for as much as they would heal.
65,overgrow,3,Strengthens Grass moves to inflict 1.5× damage at 1/3 max HP or less.
66,blaze,3,Strengthens Fire moves to inflict 1.5× damage at 1/3 max HP or less.
67,torrent,3,Strengthens Water moves to inflict 1.5× damage at 1/3 max HP or less.
68,swarm,3,Strengthens Bug moves to inflict 1.5× damage at 1/3 max HP or less.
69,rock-head,3,Protects against recoil damage.
70,drought,3,Summons strong sunlight that lasts indefinitely upon entering battle.
71,arena-trap,3,Prevents opponents from fleeing or switching out.  Eluded by Flying-types and Pokémon in the air.
72,vital-spirit,3,Prevents sleep.
73,white-smoke,3,Prevents stats from being lowered by other Pokémon.
74,pure-power,3,Doubles Attack in battle.
75,shell-armor,3,Protects against critical hits.
76,air-lock,3,"Negates all effects of weather, but does not prevent the weather itself."
77,tangled-feet,4,Doubles evasion when confused.
78,motor-drive,4,"Absorbs Electric moves, raising Speed one stage."
79,rivalry,4,"Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender."
80,steadfast,4,Raises Speed one stage upon flinching.
81,snow-cloak,4,Increases evasion to 1.25× during hail.  Protects against hail damage.
82,gluttony,4,Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.
83,anger-point,4,Raises Attack to the maximum of six stages upon receiving a critical hit.
84,unburden,4,Doubles Speed upon using or losing a held item.
85,heatproof,4,Halves damage from Fire moves and burns.
86,simple,4,Doubles the Pokémon's stat modifiers.  These doubled modifiers are still capped at -6 or 6 stages.
87,dry-skin,4,"Causes 1/8 max HP in damage each turn during strong sunlight, but heals for 1/8 max HP during rain.  Increases damage from Fire moves to 1.25×, but absorbs Water moves, healing for 1/4 max HP."
88,download,4,Raises the attack stat corresponding to the opponents' weaker defense one stage upon entering battle.
89,iron-fist,4,Strengthens punch-based moves to 1.2× their power.
90,poison-heal,4,Heals for 1/8 max HP after each turn when poisoned in place of damage.
91,adaptability,4,Increases the same-type attack bonus from 1.5× to 2×.
92,skill-link,4,Extends two-to-five-hit moves and Triple Kick to their full length every time.
93,hydration,4,Cures any major status ailment after each turn during rain.
94,solar-power,4,Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.
95,quick-feet,4,Increases Speed to 1.5× with a major status ailment.
96,normalize,4,Makes the Pokémon's moves all act Normal-type.
97,sniper,4,Strengthens critical hits to inflict 3× damage rather than 2×.
98,magic-guard,4,Protects against damage not directly caused by a move.
99,no-guard,4,Ensures all moves used by and against the Pokémon hit.
100,stall,4,Makes the Pokémon move last within its move's priority bracket.
101,technician,4,Strengthens moves of 60 base power or less to 1.5× their power.
102,leaf-guard,4,Protects against major status ailments during strong sunlight.
103,klutz,4,Prevents the Pokémon from using its held item in battle.
104,mold-breaker,4,Bypasses targets' abilities if they could hinder or prevent a move.
105,super-luck,4,Raises moves' critical hit rates one stage.
106,aftermath,4,Damages the attacker for 1/4 its max HP when knocked out by a contact move.
107,anticipation,4,"Notifies all trainers upon entering battle if an opponent has a super-effective move, Self-Destruct, Explosion, or a one-hit KO move."
108,forewarn,4,Reveals the opponents' strongest move upon entering battle.
109,unaware,4,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.
110,tinted-lens,4,Doubles damage inflicted with not-very-effective moves.
111,filter,4,Decreases damage taken from super-effective moves by 1/4.
112,slow-start,4,Halves Attack and Speed for five turns upon entering battle.
113,scrappy,4,Lets the Pokémon's Normal and Fighting moves hit Ghost Pokémon.
114,storm-drain,4,"Redirects single-target Water moves to this Pokémon where possible.  Absorbs Water moves, raising Special Attack one stage."
115,ice-body,4,Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.
116,solid-rock,4,Decreases damage taken from super-effective moves by 1/4.
117,snow-warning,4,Summons hail that lasts indefinitely upon entering battle.
118,honey-gather,4,The Pokémon may pick up Honey after battle.
119,frisk,4,Reveals an opponent's held item upon entering battle.
120,reckless,4,Strengthens recoil moves to 1.2× their power.
121,multitype,4,Changes Arceus's type and form to match its held Plate.
122,flower-gift,4,Increases friendly Pokémon's Attack and Special Defense to 1.5× during strong sunlight.
123,bad-dreams,4,Damages sleeping opponents for 1/8 their max HP after each turn.
124,pickpocket,5,Steals attacking Pokémon's held items on contact.
125,sheer-force,5,"Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects."
126,contrary,5,Inverts stat changes.
127,unnerve,5,Prevents opposing Pokémon from eating held Berries.
128,defiant,5,Raises Attack two stages upon having any stat lowered.
129,defeatist,5,Halves Attack and Special Attack at 50% max HP or less.
130,cursed-body,5,Has a 30% chance of Disabling any move that hits the Pokémon.
131,healer,5,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.
132,friend-guard,5,Decreases all direct damage taken by friendly Pokémon to 0.75×.
133,weak-armor,5,Raises Speed and lowers Defense by one stage each upon being hit by a physical move.
134,heavy-metal,5,Doubles the Pokémon's weight.
135,light-metal,5,Halves the Pokémon's weight.
136,multiscale,5,Halves damage taken from full HP.
137,toxic-boost,5,Increases Attack to 1.5× when poisoned.
138,flare-boost,5,Increases Special Attack to 1.5× when burned.
139,harvest,5,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
140,telepathy,5,Protects against friendly Pokémon's damaging moves.
141,moody,5,Raises a random stat two stages and lowers another one stage after each turn.
142,overcoat,5,Protects against damage from weather.
143,poison-touch,5,Has a 30% chance of poisoning target Pokémon upon contact.
144,regenerator,5,Heals for 1/3 max HP upon switching out.
145,big-pecks,5,Protects against Defense drops.
146,sand-rush,5,Doubles Speed during a sandstorm.  Protects against sandstorm damage.
147,wonder-skin,5,Lowers incoming non-damaging moves' base accuracy to exactly 50%.
148,analytic,5,Strengthens moves to 1.3× their power when moving last.
149,illusion,5,Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move.
150,imposter,5,Transforms upon entering battle.
151,infiltrator,5,"Bypasses Light Screen, Reflect, and Safeguard."
152,mummy,5,Changes attacking Pokémon's abilities to Mummy on contact.
153,moxie,5,Raises Attack one stage upon KOing a Pokémon.
154,justified,5,Raises Attack one stage upon taking damage from a Dark move.
155,rattled,5,"Raises Speed one stage upon being hit by a Dark, Ghost, or Bug move."
156,magic-bounce,5,Reflects most non-damaging moves back at their user.
157,sap-sipper,5,"Absorbs Grass moves, raising Attack one stage."
158,prankster,5,Raises non-damaging moves' priority by one stage.
159,sand-force,5,"Strengthens Rock, Ground, and Steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage."
160,iron-barbs,5,Damages attacking Pokémon for 1/8 their max HP on contact.
161,zen-mode,5,"Changes Darmanitan's form after each turn depending on its HP: Zen Mode below 50% max HP, and Standard Mode otherwise."
