pokemon_id,moves
1,cut|flash|rock-smash|strength
2,cut|flash|rock-smash|strength
3,cut|flash|rock-smash|strength
4,cut|rock-smash|strength
5,cut|rock-smash|strength
6,cut|fly|rock-smash|strength
7,dive|rock-smash|strength|surf|waterfall
8,dive|rock-smash|strength|surf|waterfall
9,dive|rock-smash|strength|surf|waterfall
12,flash
15,cut|rock-smash
16,fly
17,fly
18,fly
19,cut|rock-smash
20,cut|rock-smash|strength
21,fly
22,fly
23,strength
24,strength
25,flash|rock-smash|strength
26,flash|rock-smash|strength
27,cut|rock-smash|strength
28,cut|rock-smash|strength
29,cut|rock-smash|strength
30,cut|rock-smash|strength
31,cut|rock-smash|strength|surf
32,cut|rock-smash|strength
33,cut|rock-smash|strength
34,cut|rock-smash|strength|surf
35,flash|strength
36,flash|strength
39,flash|strength
40,flash|strength
43,cut|flash
44,cut|flash
45,cut|flash
46,cut|flash|rock-smash
47,cut|flash|rock-smash
48,flash
49,flash
50,cut|rock-smash
51,cut|rock-smash
52,cut|flash
53,cut|flash
54,dive|flash|rock-smash|strength|surf|waterfall
55,dive|flash|rock-smash|strength|surf|waterfall
56,rock-smash|strength
57,rock-smash|strength
58,rock-smash|strength
59,rock-smash|strength
60,dive|surf|waterfall
61,dive|rock-smash|strength|surf|waterfall
62,dive|rock-smash|strength|surf|waterfall
63,flash
64,flash
65,flash
66,rock-smash|strength
67,rock-smash|strength
68,rock-smash|strength
69,cut|flash
70,cut|flash
71,cut|flash
72,cut|dive|surf|waterfall
73,cut|dive|surf|waterfall
74,rock-smash|strength
75,rock-smash|strength
76,rock-smash|strength
77,strength
78,strength
79,dive|flash|strength|surf
80,dive|flash|rock-smash|strength|surf
81,flash
82,flash
83,cut|fly
84,fly
85,fly
86,dive|surf|waterfall
87,dive|surf|waterfall
89,rock-smash|strength
90,dive|surf
91,dive|surf
94,rock-smash|strength
95,rock-smash|strength
96,flash
97,flash
98,cut|dive|rock-smash|strength|surf
99,cut|dive|rock-smash|strength|surf
100,flash
101,flash
102,flash|strength
103,flash|strength
104,rock-smash|strength
105,rock-smash|strength
106,rock-smash|strength
107,rock-smash|strength
108,cut|rock-smash|strength|surf
109,flash
110,flash
111,rock-smash|strength
112,cut|rock-smash|strength|surf
113,flash|rock-smash|strength
114,cut|flash|rock-smash
115,cut|rock-smash|strength|surf
116,dive|surf|waterfall
117,dive|surf|waterfall
118,dive|surf|waterfall
119,dive|surf|waterfall
120,dive|flash|surf|waterfall
121,dive|flash|surf|waterfall
122,flash
123,cut|rock-smash
124,flash
125,flash|rock-smash|strength
126,rock-smash|strength
127,cut|rock-smash|strength
128,rock-smash|strength|surf
130,dive|rock-smash|strength|surf|waterfall
131,dive|rock-smash|strength|surf|waterfall
134,dive|surf|waterfall
135,flash
137,flash
138,dive|rock-smash|surf|waterfall
139,dive|rock-smash|surf|waterfall
140,rock-smash|surf|waterfall
141,cut|dive|rock-smash|surf|waterfall
142,fly|rock-smash|strength
143,strength|surf
144,fly|rock-smash
145,flash|fly|rock-smash
146,fly|rock-smash
147,surf|waterfall
148,surf|waterfall
149,cut|dive|fly|rock-smash|strength|surf|waterfall
150,flash|rock-smash|strength
151,cut|dive|flash|fly|rock-smash|strength|surf|waterfall
152,cut|flash
153,cut|flash|rock-smash|strength
154,cut|flash|rock-smash|strength
155,cut
156,cut|rock-smash|strength
157,cut|rock-smash|strength
158,cut|dive|surf|waterfall
159,cut|dive|rock-smash|strength|surf|waterfall
160,cut|dive|rock-smash|strength|surf|waterfall
161,cut|surf
162,cut|rock-smash|strength|surf
163,flash|fly
164,flash|fly
165,flash
166,flash
167,flash
168,flash
169,fly
170,dive|flash|surf|waterfall
171,dive|flash|surf|waterfall
172,flash
173,flash
174,flash
175,flash|rock-smash
176,flash|fly|rock-smash
177,flash
178,flash|fly
179,flash
180,flash|rock-smash|strength
181,flash|rock-smash|strength
182,cut|flash
183,dive|rock-smash|strength|surf|waterfall
184,dive|rock-smash|strength|surf|waterfall
185,rock-smash|strength
186,dive|rock-smash|strength|surf|waterfall
187,flash
188,flash
189,flash
190,cut|rock-smash|strength
191,cut|flash
192,cut|flash
193,flash
194,dive|flash|rock-smash|surf|waterfall
195,dive|flash|rock-smash|strength|surf|waterfall
196,cut|flash
197,cut|flash
198,fly
199,dive|flash|rock-smash|strength|surf
200,flash
203,flash|rock-smash|strength
204,rock-smash|strength
205,rock-smash|strength
206,rock-smash|strength
207,cut|rock-smash|strength
208,cut|rock-smash|strength
209,rock-smash|strength
210,rock-smash|strength
211,dive|surf|waterfall
212,cut|rock-smash|strength
213,flash|rock-smash|strength
214,cut|rock-smash|strength
215,cut|rock-smash|strength|surf
216,cut|rock-smash|strength
217,cut|rock-smash|strength
218,rock-smash
219,rock-smash|strength
220,rock-smash|strength
221,rock-smash|strength
222,rock-smash|strength|surf
223,dive|surf|waterfall
224,dive|surf|waterfall
225,fly
226,dive|surf|waterfall
227,cut|fly|rock-smash
228,rock-smash
229,rock-smash|strength
230,dive|surf|waterfall
231,rock-smash|strength
232,rock-smash|strength
233,flash
234,flash
236,rock-smash|strength
237,rock-smash|strength
238,flash
239,flash|rock-smash
240,rock-smash
241,rock-smash|strength|surf
242,flash|rock-smash|strength
243,cut|flash|rock-smash|strength
244,cut|flash|rock-smash|strength
245,cut|dive|rock-smash|surf|waterfall
246,rock-smash
247,rock-smash
248,cut|rock-smash|strength|surf
249,dive|fly|rock-smash|strength|surf|waterfall
250,flash|fly|rock-smash|strength
251,cut|flash
252,cut|flash|rock-smash|strength
253,cut|flash|rock-smash|strength
254,cut|flash|rock-smash|strength
255,cut|rock-smash|strength
256,cut|rock-smash|strength
257,cut|rock-smash|strength
258,dive|rock-smash|strength|surf|waterfall
259,dive|rock-smash|strength|surf|waterfall
260,dive|rock-smash|strength|surf|waterfall
261,rock-smash
262,rock-smash|strength
263,cut|rock-smash|surf
264,cut|rock-smash|strength|surf
267,flash
269,flash
270,flash|surf
271,dive|flash|rock-smash|strength|surf|waterfall
272,dive|flash|rock-smash|strength|surf|waterfall
273,flash|rock-smash
274,cut|flash|rock-smash|strength
275,cut|flash|rock-smash|strength
276,fly
277,fly
278,fly
279,fly|surf
280,flash
281,flash
282,flash
283,flash
284,flash
285,flash
286,cut|flash|rock-smash|strength
287,cut|rock-smash|strength
288,cut|rock-smash|strength
289,cut|rock-smash|strength
290,cut|flash
291,cut|flash
292,cut|flash
294,rock-smash|strength
295,rock-smash|strength
296,rock-smash|strength|surf
297,rock-smash|strength|surf
298,surf|waterfall
299,rock-smash|strength
300,flash
301,flash|rock-smash|strength
302,cut|flash|rock-smash
303,rock-smash|strength
304,cut|rock-smash|strength
305,cut|rock-smash|strength
306,cut|rock-smash|strength|surf
307,flash|rock-smash|strength
308,flash|rock-smash|strength
309,flash|strength
310,flash|strength
311,flash
312,flash
313,flash
314,flash
315,cut|flash
316,rock-smash|strength
317,rock-smash|strength
318,dive|surf|waterfall
319,dive|rock-smash|strength|surf|waterfall
320,dive|rock-smash|strength|surf|waterfall
321,dive|rock-smash|strength|surf|waterfall
322,rock-smash|strength
323,rock-smash|strength
324,rock-smash|strength
325,flash
326,flash
327,flash|rock-smash|strength
328,rock-smash|strength
329,fly|rock-smash|strength
330,fly|rock-smash|strength
331,cut|flash
332,cut|flash|strength
333,fly
334,fly|rock-smash
335,rock-smash|strength
336,rock-smash|strength
337,flash
338,flash
339,dive|surf|waterfall
340,dive|rock-smash|strength|surf|waterfall
341,cut|rock-smash|strength|surf|waterfall
342,cut|dive|rock-smash|strength|surf|waterfall
343,flash
344,flash|rock-smash|strength
346,rock-smash|strength
347,cut|rock-smash
348,cut|rock-smash|strength
349,dive|surf|waterfall
350,dive|surf|waterfall
351,flash
352,cut|flash|rock-smash|strength
353,flash
354,flash
355,flash
356,flash|rock-smash|strength
357,cut|flash|fly|rock-smash|strength
358,flash
359,cut|flash|rock-smash|strength
361,flash
362,flash
363,dive|rock-smash|strength|surf|waterfall
364,dive|rock-smash|strength|surf|waterfall
365,dive|rock-smash|strength|surf|waterfall
366,dive|surf|waterfall
367,dive|surf|waterfall
368,dive|surf|waterfall
369,dive|rock-smash|surf|waterfall
370,dive|surf|waterfall
371,cut|rock-smash|strength
372,cut|rock-smash|strength
373,cut|fly|rock-smash|strength
375,cut|flash|rock-smash|strength
376,cut|flash|rock-smash|strength
377,rock-smash|strength
378,rock-smash|strength
379,rock-smash|strength
380,cut|dive|flash|fly|surf|waterfall
381,cut|dive|flash|fly|surf|waterfall
382,dive|rock-smash|strength|surf|waterfall
383,cut|rock-smash|strength
384,dive|fly|rock-smash|strength|surf|waterfall
385,flash
10001,cut|flash|rock-smash|strength
10002,cut|flash|rock-smash|strength
10013,flash
10014,flash
10015,flash
