id,name,type_id,power,accuracy,pp,class
1,pound,1,40,100,35,physical
2,karate-chop,2,50,100,25,physical
3,double-slap,1,15,85,10,physical
4,comet-punch,1,18,85,15,physical
5,mega-punch,1,80,85,20,physical
6,pay-day,1,40,100,20,physical
7,fire-punch,10,75,100,15,physical
8,ice-punch,15,75,100,15,physical
9,thunder-punch,13,75,100,15,physical
10,scratch,1,40,100,35,physical
11,vice-grip,1,55,100,30,physical
12,guillotine,1,,30,5,physical
13,razor-wind,1,80,100,10,special
14,swords-dance,1,,,20,status
15,cut,1,50,95,30,physical
16,gust,3,40,100,35,special
17,wing-attack,3,60,100,35,physical
18,whirlwind,1,,,20,status
19,fly,3,90,95,15,physical
20,bind,1,15,85,20,physical
21,slam,1,80,75,20,physical
22,vine-whip,12,45,100,25,physical
23,stomp,1,65,100,20,physical
24,double-kick,2,30,100,30,physical
25,mega-kick,1,120,75,5,physical
26,jump-kick,2,100,95,10,physical
27,rolling-kick,2,60,85,15,physical
28,sand-attack,5,,100,15,status
29,headbutt,1,70,100,15,physical
30,horn-attack,1,65,100,25,physical
31,fury-attack,1,15,85,20,physical
32,horn-drill,1,,30,5,physical
33,tackle,1,40,100,35,physical
34,body-slam,1,85,100,15,physical
35,wrap,1,15,90,20,physical
36,take-down,1,90,85,20,physical
37,thrash,1,120,100,10,physical
38,double-edge,1,120,100,15,physical
39,tail-whip,1,,100,30,status
40,poison-sting,4,15,100,35,physical
41,twineedle,7,25,100,20,physical
42,pin-missile,7,25,95,20,physical
43,leer,1,,100,30,status
44,bite,17,60,100,25,physical
45,growl,1,,100,40,status
46,roar,1,,,20,status
47,sing,1,,55,15,status
48,supersonic,1,,55,20,status
49,sonic-boom,1,,90,20,special
50,disable,1,,100,20,status
51,acid,4,40,100,30,special
52,ember,10,40,100,25,special
53,flamethrower,10,90,100,15,special
54,mist,15,,,30,status
55,water-gun,11,40,100,25,special
56,hydro-pump,11,110,80,5,special
57,surf,11,90,100,15,special
58,ice-beam,15,90,100,10,special
59,blizzard,15,110,70,5,special
60,psybeam,14,65,100,20,special
61,bubble-beam,11,65,100,20,special
62,aurora-beam,15,65,100,20,special
63,hyper-beam,1,150,90,5,special
64,peck,3,35,100,35,physical
65,drill-peck,3,80,100,20,physical
66,submission,2,80,80,20,physical
67,low-kick,2,,100,20,physical
68,counter,2,,100,20,physical
69,seismic-toss,2,,100,20,physical
70,strength,1,80,100,15,physical
71,absorb,12,20,100,25,special
72,mega-drain,12,40,100,15,special
73,leech-seed,12,,90,10,status
74,growth,1,,,20,status
75,razor-leaf,12,55,95,25,physical
76,solar-beam,12,120,100,10,special
77,poison-powder,4,,75,35,status
78,stun-spore,12,,75,30,status
79,sleep-powder,12,,75,15,status
80,petal-dance,12,120,100,10,special
81,string-shot,7,,95,40,status
82,dragon-rage,16,,100,10,special
83,fire-spin,10,35,85,15,special
84,thunder-shock,13,40,100,30,special
85,thunderbolt,13,90,100,15,special
86,thunder-wave,13,,90,20,status
87,thunder,13,110,70,10,special
88,rock-throw,6,50,90,15,physical
89,earthquake,5,100,100,10,physical
90,fissure,5,,30,5,physical
91,dig,5,80,100,10,physical
92,toxic,4,,90,10,status
93,confusion,14,50,100,25,special
94,psychic,14,90,100,10,special
95,hypnosis,14,,60,20,status
96,meditate,14,,,40,status
97,agility,14,,,30,status
98,quick-attack,1,40,100,30,physical
99,rage,1,20,100,20,physical
100,teleport,14,,,20,status
101,night-shade,8,,100,15,special
102,mimic,1,,,10,status
103,screech,1,,85,40,status
104,double-team,1,,,15,status
105,recover,1,,,5,status
106,harden,1,,,30,status
107,minimize,1,,,10,status
108,smokescreen,1,,100,20,status
109,confuse-ray,8,,100,10,status
110,withdraw,11,,,40,status
111,defense-curl,1,,,40,status
112,barrier,14,,,20,status
113,light-screen,14,,,30,status
114,haze,15,,,30,status
115,reflect,14,,,20,status
116,focus-energy,1,,,30,status
117,bide,1,,,10,physical
118,metronome,1,,,10,status
119,mirror-move,3,,,20,status
120,self-destruct,1,200,100,5,physical
121,egg-bomb,1,100,75,10,physical
122,lick,8,30,100,30,physical
123,smog,4,30,70,20,special
124,sludge,4,65,100,20,special
125,bone-club,5,65,85,20,physical
126,fire-blast,10,110,85,5,special
127,waterfall,11,80,100,15,physical
128,clamp,11,35,85,15,physical
129,swift,1,60,,20,special
130,skull-bash,1,130,100,10,physical
131,spike-cannon,1,20,100,15,physical
132,constrict,1,10,100,35,physical
133,amnesia,14,,,20,status
134,kinesis,14,,80,15,status
135,soft-boiled,1,,,5,status
136,high-jump-kick,2,130,90,10,physical
137,glare,1,,100,30,status
138,dream-eater,14,100,100,15,special
139,poison-gas,4,,90,40,status
140,barrage,1,15,85,20,physical
141,leech-life,7,80,100,10,physical
142,lovely-kiss,1,,75,10,status
143,sky-attack,3,140,90,5,physical
144,transform,1,,,10,status
145,bubble,11,40,100,30,special
146,dizzy-punch,1,70,100,10,physical
147,spore,12,,100,15,status
148,flash,1,,100,20,status
149,psywave,14,,100,15,special
150,splash,1,,,40,status
151,acid-armor,4,,,20,status
152,crabhammer,11,100,90,10,physical
153,explosion,1,250,100,5,physical
154,fury-swipes,1,18,80,15,physical
155,bonemerang,5,50,90,10,physical
156,rest,14,,,5,status
157,rock-slide,6,75,90,10,physical
158,hyper-fang,1,80,90,15,physical
159,sharpen,1,,,30,status
160,conversion,1,,,30,status
161,tri-attack,1,80,100,10,special
162,super-fang,1,,90,10,physical
163,slash,1,70,100,20,physical
164,substitute,1,,,10,status
166,sketch,1,,,1,status
167,triple-kick,2,10,90,10,physical
168,thief,17,60,100,25,physical
169,spider-web,7,,,10,status
170,mind-reader,1,,,5,status
171,nightmare,8,,100,15,status
172,flame-wheel,10,60,100,25,physical
173,snore,1,50,100,15,special
174,curse,8,,,10,status
175,flail,1,,100,15,physical
176,conversion-2,1,,,30,status
177,aeroblast,3,100,95,5,special
178,cotton-spore,12,,100,40,status
179,reversal,2,,100,15,physical
180,spite,8,,100,10,status
181,powder-snow,15,40,100,25,special
182,protect,1,,,10,status
183,mach-punch,2,40,100,30,physical
184,scary-face,1,,100,10,status
185,feint-attack,17,60,,20,physical
186,sweet-kiss,18,,75,10,status
187,belly-drum,1,,,10,status
188,sludge-bomb,4,90,100,10,special
189,mud-slap,5,20,100,10,special
190,octazooka,11,65,85,10,special
191,spikes,5,,,20,status
192,zap-cannon,13,120,50,5,special
193,foresight,1,,,40,status
194,destiny-bond,8,,,5,status
195,perish-song,1,,,5,status
196,icy-wind,15,55,95,15,special
197,detect,2,,,5,status
198,bone-rush,5,25,90,10,physical
199,lock-on,1,,,5,status
200,outrage,16,120,100,10,physical
201,sandstorm,6,,,10,status
202,giga-drain,12,75,100,10,special
203,endure,1,,,10,status
204,charm,18,,100,20,status
205,rollout,6,30,90,20,physical
206,false-swipe,1,40,100,40,physical
207,swagger,1,,85,15,status
208,milk-drink,1,,,5,status
209,spark,13,65,100,20,physical
210,fury-cutter,7,40,95,20,physical
211,steel-wing,9,70,90,25,physical
212,mean-look,1,,,5,status
213,attract,1,,100,15,status
214,sleep-talk,1,,,10,status
215,heal-bell,1,,,5,status
216,return,1,,100,20,physical
217,present,1,,90,15,physical
218,frustration,1,,100,20,physical
219,safeguard,1,,,25,status
220,pain-split,1,,,20,status
221,sacred-fire,10,100,95,5,physical
222,magnitude,5,,100,30,physical
223,dynamic-punch,2,100,50,5,physical
224,megahorn,7,120,85,10,physical
225,dragon-breath,16,60,100,20,special
226,baton-pass,1,,,40,status
227,encore,1,,100,5,status
228,pursuit,17,40,100,20,physical
229,rapid-spin,1,50,100,40,physical
230,sweet-scent,1,,100,20,status
231,iron-tail,9,100,75,15,physical
232,metal-claw,9,50,95,35,physical
233,vital-throw,2,70,,10,physical
234,morning-sun,1,,,5,status
235,synthesis,12,,,5,status
236,moonlight,18,,,5,status
237,hidden-power,1,60,100,15,special
238,cross-chop,2,100,80,5,physical
239,twister,16,40,100,20,special
240,rain-dance,11,,,5,status
241,sunny-day,10,,,5,status
242,crunch,17,80,100,15,physical
243,mirror-coat,14,,100,20,special
244,psych-up,1,,,10,status
245,extreme-speed,1,80,100,5,physical
246,ancient-power,6,60,100,5,special
247,shadow-ball,8,80,100,15,special
248,future-sight,14,120,100,10,special
249,rock-smash,2,40,100,15,physical
250,whirlpool,11,35,85,15,special
251,beat-up,17,,100,10,physical
252,fake-out,1,40,100,10,physical
253,uproar,1,90,100,10,special
254,stockpile,1,,,20,status
255,spit-up,1,,100,10,special
256,swallow,1,,,10,status
257,heat-wave,10,95,90,10,special
258,hail,15,,,10,status
259,torment,17,,100,15,status
260,flatter,17,,100,15,status
261,will-o-wisp,10,,85,15,status
262,memento,17,,100,10,status
263,facade,1,70,100,20,physical
264,focus-punch,2,150,100,20,physical
265,smelling-salts,1,70,100,10,physical
266,follow-me,1,,,20,status
267,nature-power,1,,,20,status
268,charge,13,,,20,status
269,taunt,17,,100,20,status
270,helping-hand,1,,,20,status
271,trick,14,,100,10,status
272,role-play,14,,,10,status
273,wish,1,,,10,status
274,assist,1,,,20,status
275,ingrain,12,,,20,status
276,superpower,2,120,100,5,physical
277,magic-coat,14,,,15,status
278,recycle,1,,,10,status
279,revenge,2,60,100,10,physical
280,brick-break,2,75,100,15,physical
281,yawn,1,,,10,status
282,knock-off,17,65,100,20,physical
283,endeavor,1,,100,5,physical
284,eruption,10,150,100,5,special
285,skill-swap,14,,,10,status
286,imprison,14,,,10,status
287,refresh,1,,,20,status
288,grudge,8,,,5,status
289,snatch,17,,,10,status
290,secret-power,1,70,100,20,physical
291,dive,11,80,100,10,physical
292,arm-thrust,2,15,100,20,physical
293,camouflage,1,,,20,status
294,tail-glow,7,,,20,status
295,luster-purge,14,95,100,5,special
296,mist-ball,14,95,100,5,special
297,feather-dance,3,,100,15,status
298,teeter-dance,1,,100,20,status
299,blaze-kick,10,85,90,10,physical
300,mud-sport,5,,,15,status
301,ice-ball,15,30,90,20,physical
302,needle-arm,12,60,100,15,physical
303,slack-off,1,,,5,status
304,hyper-voice,1,90,100,10,special
305,poison-fang,4,50,100,15,physical
306,crush-claw,1,75,95,10,physical
309,meteor-mash,9,90,90,10,physical
310,astonish,8,30,100,15,physical
311,weather-ball,1,50,100,10,special
312,aromatherapy,12,,,5,status
313,fake-tears,17,,100,20,status
314,air-cutter,3,60,95,25,special
315,overheat,10,130,90,5,special
316,odor-sleuth,1,,,40,status
317,rock-tomb,6,60,95,15,physical
318,silver-wind,7,60,100,5,special
319,metal-sound,9,,85,40,status
320,grass-whistle,12,,55,15,status
321,tickle,1,,100,20,status
322,cosmic-power,14,,,20,status
323,water-spout,11,150,100,5,special
324,signal-beam,7,75,100,15,special
325,shadow-punch,8,60,,20,physical
326,extrasensory,14,80,100,20,special
327,sky-uppercut,2,85,90,15,physical
328,sand-tomb,5,35,85,15,physical
329,sheer-cold,15,,30,5,special
330,muddy-water,11,90,85,10,special
331,bullet-seed,12,25,100,30,physical
332,aerial-ace,3,60,,20,physical
333,icicle-spear,15,25,100,30,physical
334,iron-defense,9,,,15,status
335,block,1,,,5,status
336,howl,1,,,40,status
337,dragon-claw,16,80,100,15,physical
339,bulk-up,2,,,20,status
340,bounce,3,85,85,5,physical
341,mud-shot,5,55,95,15,special
342,poison-tail,4,50,100,25,physical
343,covet,1,60,100,25,physical
345,magical-leaf,12,60,,20,special
346,water-sport,11,,,15,status
347,calm-mind,14,,,20,status
348,leaf-blade,12,90,100,15,physical
349,dragon-dance,16,,,20,status
350,rock-blast,6,25,90,10,physical
351,shock-wave,13,60,,20,special
352,water-pulse,11,60,100,20,special
353,doom-desire,9,140,100,5,special
354,psycho-boost,14,140,90,5,special
